"site","genus","species","log_plant_height_cm","log_leaf_length_cm","log_leaf_width_cm","log_leaf_thickness_mm"
"Desert","Aloe","""David Verity""",4.96144504990548,3.68386691229039,2.04122032885964,2.82137888640921
"Desert","Aloe","plicatilis",4.90230741721063,2.34180580614733,1.02961941718116,1.94591014905531
"Desert","Aloe","suprafoliata",3.42751468997953,2.77258872223978,1.75785791755237,2.83321334405622
"Desert","Aloe","""x salm-dyckiana""",5.73009978297357,3.87328217711172,1.85629799036563,3.03013370027132
"Desert","Aloe","microstigma",4.04305126783455,3.23867845216438,1.45861502269952,2.63905732961526
"Desert","Aloe","mutabilis",4.78749174278205,4.0943445622221,1.7404661748405,3.10593106585207
"Desert","Haematoxylum","brasiletto",6.23441072571837,0.86288995514704,0.741937344729377,0
"Desert","Aloe ","alooides",5.13579843705026,4.62173227428707,2.77258872223978,2.8136106967627
"Entrance","Thymus","vulgaris",3.87120101090789,-0.843970070294529,-1.6094379124341,-0.693147180559945
"Entrance","Artemisia","californica",3.49650756146648,1.19392246847243,0.727548607277278,-0.693147180559945
"Entrance","Salvia","nemorosa",2.56494935746154,1.69193913394584,0.570979546585738,-0.693147180559945
"Entrance","Rosmarinus","officinalis",4.70953020131233,0.182321556793955,-1.6094379124341,-0.400477566597125
"Entrance","Salvia","clevelandii",4.48863636973214,1.06471073699243,-0.22314355131421,0
"Entrance","Achillea","""x moonshine""",3.25809653802148,0.262364264467491,-0.105360515657826,0
"Entrance","Verbena","rigida",4.52178857704904,1.19392246847243,-0.22314355131421,0
"Stream","Aspidistra","elatior",4.11087386417331,3.45946628978613,2.14006616349627,-0.693147180559945
"Stream","Strelitzia","reginae",5.44673737166631,4.17592454921452,2.85070650150373,-0.510825623765991
"Stream","Pseudopanax","lessonii",5.93224518744801,2.63188884013665,1.33500106673234,-0.63487827243597
"Stream","Pseudopanax","lessonii",5.68595788974365,2.4423470353692,1.3609765531356,0
"Stream","Ravenea","glauca",5.73009978297357,4.20722671927877,0.845868267577609,0
"Stream","Musa","""x paradisiaca""",5.63478960316925,4.93209700976577,3.69709560888528,-0.693147180559945
"Stream","Asparagus","virgatus",5.12989871492307,2.24707238306379,-2.99573227355399,-0.693147180559945
"Stream","Alocasia","sp.",5.71042701737487,4.77347733139647,4.34159518887954,-0.693147180559945
